Name,Date of Birth,Aadhaar Number,PAN,Last Salary Earned,Allowances,Type of Pension,Bank name,Account Number,Type of Bank
Joe,24-09-1975,123456789012,BAJPC4350M,27000,10000,Self,ABC bank,12345678,Public
Harry,25-02-1956,123456789013,DAJPC4150P,30000,12000,Family,RTT bank,12345679,Public
Taylor,26-03-1885,123456789014,XGZFE7225A,30001,12001,Family,QWE bank,12345680,Private
Mark,27-06-1885,123456789015,CTUGE1616I,40000,12002,Self,RTY bank,12345681,Public
Shiny,28-03-1965,123456789016,PEVFV4506Y,78000,9000,Self,PII bank,12345682,Private
Raymond,29-09-1962,123456789017,UWPCL6780T,90000,5000,Self,NJK bank,12345683,Private
Johnas,30-09-1943,123456789018,LQDTD5444T,100000,9000,Family,DSC bank,12345684,Public
Wilbert,01-01-1970,123456789019,YUGFJ2046V,98000,5500,Family,BHJ bank,12345685,Private
Thomas,02-06-1955,123456789020,DDWCH0856B,50000,1000,Self,LMN bank,12345686,Private
Umesh,11-09-1998,123456789021,POULV05643,70000,2000,Self,ABC bank,12345687,Public
Satyam,12-02-1997,123456789022,TGDOP09872,50000,4000,Family,RTT bank,12345688,Public
Saket,01-01-1998,123456789023,BHMER12436,68000,5000,Family,QWE bank,12345689,Private
Aakash,14-02-1998,123456789024,HMPIO67182,65000,8000,Self,ABV bank,12345690,Public
Embid,12-09-1956,123456789025,SHTOC34253,55000,2000,Self,QWE bank,12345691,Private
Prateek,14-12-1989,123456789026,DFGYM14759,78000,9000,Self,RTY bank,12345692,Private
Preet,18-09-1976,123456789027,GHFFM67983,90000,5000,Family,PII bank,12345693,Public
Neha,24-12-1995,123456789028,HJAVK89604,100000,9000,Family,NJK bank,12345694,Private
Sriram,21-09-1993,123456789029,MKUYD12432,98000,5500,Self,DSC bank,12345695,Private
Rajesh,07-03-1990,123456789030,TYIUI09782,50000,1000,Family,BHJ bank,12345696,Private
Praanav,04-03-1930,123456789031,POUTR05461,70000,2000,Self,LMN bank,12345697,Public
